WEAP_name,SWITCH_name,load_zone_name,gen_tech,capacity_limit_mw,capacity_weight,RoR_or_Reservoir,not_generating_in_WEAP,EIA_plant_id,River,Notes
San Luis,W R Gianelli,CA_PGE_CEN,Hydro_Pumped,424,1,Reservoir,0,448,San Luis Creek,
San Vicente Reservoir,NA,NA,NA,NA,NA,NA,1,NA,St Vincent Creek,NA
Seminoe,Seminoe,WY_SE,Hydro_NonPumped,51.6,1,Reservoir,0,4182,North Fork Platte River,
SF Tolt,NA,NA,NA,NA,NA,NA,1,NA,South Fork Tolt River,NA
Shasta,Shasta,CA_PGE_N,Hydro_NonPumped,714,1,Reservoir,0,445,Sacramento River,
Silverwood Lake and Devil Canyon,NA,NA,NA,NA,NA,NA,1,NA,SWP East Branch,NA
Smith Falls,Smith Falls Hydro Project,WA_ID_AVA,Hydro_NonPumped,38.1,1,RoR,0,54249,Smith Creek,
Snoqualmie and Twin Falls,Snoqualmie 2,WA_W,Hydro_NonPumped,38.7,1,RoR,0,7867,Snoqualmie River,
Spaulding Reservoir,NA,NA,NA,NA,NA,NA,0,281,South Yuba River,Non-generating in SWITCH
Spring Creek,Spring Creek,CA_PGE_N,Hydro_NonPumped,180,1,RoR,0,450,Spring Creek Tunnel,
Stanislaus,Stanislaus,CA_PGE_CEN,Hydro_NonPumped,81.9,1,RoR,0,285,Stanislaus River,
Summer Falls Power Plant,Summer Falls Power Plant,WA_N_CEN,Hydro_NonPumped,92,1,RoR,0,56695,Feeder Canal Banks,
Swift 1,Swift 1,WA_W,Hydro_NonPumped,240,1,Reservoir,0,3850,Lewis River,
The Dalles,The Dalles,OR_WA_BPA,Hydro_NonPumped,1819.7,1,RoR,0,3895,Columbia River,
Theodore Roosevelt,Roosevelt,AZ_PHX,Hydro_NonPumped,36,1,Reservoir,0,149,Salt River,
Thompson Falls,Thompson Falls,MT_NW,Hydro_NonPumped,98.1,1,RoR,0,2195,Clark Fork and Pend Oreille,
Tieton Dam and Reservoir,NA,NA,NA,NA,NA,NA,1,NA,Tieton River,NA
Tiger Creek,Tiger Creek,CA_PGE_CEN,Hydro_NonPumped,52.2,1,RoR,0,287,Mokelumne River,
Toketee Falls,Toketee Falls,OR_W,Hydro_NonPumped,42.6,1,RoR,0,3040,Fish Creek,
Trinity Lake,Trinity,CA_PGE_N,Hydro_NonPumped,140,1,Reservoir,0,451,Trinity River,
Twin Falls,Twin Falls (ID),ID_S_OR_E,Hydro_NonPumped,52.7,1,RoR,0,821,Snake River,
Union Valley,Union Valley,CA_PGE_N,Hydro_NonPumped,38.6,1,Reservoir,0,6612,Middle Fork American River,
Upper Baker,Upper Baker,WA_W,Hydro_NonPumped,104.8,1,Reservoir,0,3861,Baker River,
Upper Gorge,Upper Gorge,CA_SCE_CEN,Hydro_NonPumped,37.5,1,RoR,0,407,West Owens River,
W E Warne,NA,NA,NA,NA,NA,NA,1,NA,SWP West Branch,NA
Wanapum,Wanapum,WA_N_CEN,Hydro_NonPumped,1098,1,RoR,0,3888,Columbia River,
Wells,Wells,WA_N_CEN,Hydro_NonPumped,696.6,1,RoR,0,3886,Columbia River,
Whiskey Town,Whiskeytown,CA_PGE_N,Hydro_NonPumped,3.5,1,Reservoir,0,7189,Clear Creek,
White Rock_Slab Creek,White Rock/Slab Creek,CA_PGE_N,Hydro_NonPumped,266.5,1,RoR,0,435,South Fork American River,
Woodleaf,NA,NA,NA,NA,NA,NA,1,NA,Lost Creek River,NA
Yale,Yale,WA_W,Hydro_NonPumped,134,1,Reservoir,0,3852,Lewis River,
Yellowtail,Yellowtail,MT_SE,Hydro_NonPumped,268.8,1,Reservoir,0,2204,Big Horn River,
Yelm,NA,NA,NA,NA,NA,NA,0,3878,Nisqually River,Non-generating in SWITCH because less than 30 MW cutoff
